p_7,p_6,p_5,p_4,p_3,p_2,p_1,p_0,p_8
1,1,1,1,1,1,1,1,11111111
0,1,1,1,1,0,0,0,01111000
0,1,1,1,1,1,1,1,01111111
1,0,0,0,1,1,0,0,10001100
1,0,0,0,1,0,0,0,10001000
1,0,0,0,1,1,0,0,10001100
1,0,0,1,1,0,0,0,10011000
1,0,1,0,1,1,1,1,10101111
1,0,1,0,1,0,0,0,10101000
1,0,1,0,1,1,0,0,10101100
1,1,1,1,1,1,1,1,11111111
1,0,1,1,1,0,0,0,10111000
1,0,1,1,1,1,0,0,10111100
1,1,1,1,1,1,1,1,11111111
1,1,0,0,1,1,0,0,11001100
1,1,0,0,1,0,0,0,11001000
1,1,0,0,1,1,0,0,11001100
1,1,0,1,1,1,0,0,11011100
1,1,0,1,1,0,0,0,11011000
1,1,1,0,1,1,0,0,11101100
1,1,1,0,1,0,0,0,11101000
1,1,1,1,1,1,1,1,11111111
1,1,0,1,0,0,0,0,11010000
1,1,1,1,1,1,1,1,11111111
1,1,1,0,0,0,0,0,11100000
1,1,1,0,0,1,0,0,11100100
1,1,1,1,0,1,0,0,11110100
1,1,1,1,0,0,0,0,11110000
1,1,1,1,0,1,0,0,11110100
0,1,1,0,1,1,0,0,01101100
0,1,1,0,1,0,0,0,01101000
0,1,1,0,1,1,0,0,01101100
0,1,1,1,1,1,0,0,01111100
0,1,1,1,1,0,0,0,01111000
0,1,1,1,1,1,0,0,01111100
1,1,1,1,1,1,1,1,11111111
1,0,0,0,1,0,0,0,10001000
1,0,0,0,1,1,1,0,10001110
1,0,0,1,1,1,0,0,10011100
1,0,0,1,1,0,0,0,10011000
1,0,1,0,1,1,0,0,10101100
1,0,1,0,1,0,0,0,10101000
1,1,1,1,1,1,1,1,11111111
1,0,1,1,1,0,0,0,10111000
1,1,1,1,1,1,1,1,11111111
1,1,0,0,1,0,0,0,11001000
1,1,0,0,1,1,0,0,11001100
1,1,1,1,1,1,1,1,11111111
1,1,0,1,1,1,0,0,11011100
1,1,0,1,1,0,0,0,11011000
1,1,1,0,1,0,0,0,11101000
1,1,1,0,1,1,0,0,11101100
1,1,0,1,0,0,0,0,11010000
1,1,1,0,0,1,0,0,11100100
1,1,1,0,0,0,0,0,11100000
1,1,1,1,0,0,0,0,11110000
1,1,1,1,0,1,0,0,11110100
0,1,1,0,1,0,0,0,01101000
0,1,1,0,1,1,0,0,01101100
0,1,1,1,1,0,0,0,01111000
0,1,1,1,1,1,0,0,01111100
1,0,0,0,1,0,0,0,10001000
1,0,0,1,1,0,0,0,10011000
1,0,0,1,1,1,0,0,10011100
1,0,1,0,1,0,0,0,10101000
1,0,1,0,1,1,0,0,10101100
1,0,1,1,1,0,0,0,10111000
1,0,1,1,1,1,0,0,10111100
1,1,0,0,1,0,0,0,11001000
1,1,0,0,1,1,0,0,11001100
1,1,0,1,1,0,0,0,11011000
1,1,1,1,1,1,1,1,11111111
1,1,1,0,1,0,0,0,11101000
1,1,0,1,0,0,0,0,11010000
1,1,1,1,1,1,1,1,11111111
1,1,1,0,0,0,0,0,11100000
1,1,1,1,0,0,0,0,11110000
0,1,1,0,1,1,0,0,01101100
0,1,1,0,1,0,0,0,01101000
0,1,1,1,1,0,0,0,01111000
1,1,1,1,1,1,1,1,11111111
1,0,0,0,1,0,0,0,10001000
1,0,0,1,1,0,0,0,10011000
1,0,0,1,1,1,0,0,10011100
1,0,1,0,1,0,0,0,10101000
1,1,1,1,1,1,1,1,11111111
1,0,1,1,1,0,0,0,10111000
1,1,0,0,1,1,0,0,11001100
1,1,0,1,1,0,0,0,11011000
1,1,0,1,1,1,0,0,11011100
1,1,1,0,1,0,0,0,11101000
1,1,1,0,1,1,0,0,11101100
1,1,0,1,0,1,0,0,11010100
1,1,0,1,0,0,0,0,11010000
1,1,1,1,1,1,1,1,11111111
1,1,1,0,0,0,0,0,11100000
1,1,1,0,0,1,0,0,11100100
1,1,1,1,0,1,0,0,11110100
1,1,1,1,0,0,0,0,11110000
1,1,1,1,0,1,0,0,11110100
0,1,1,0,1,1,0,0,01101100
0,1,1,0,1,0,0,0,01101000
0,1,1,1,1,1,1,0,01111110
0,1,1,1,1,0,0,0,01111000
1,1,1,1,1,1,1,1,11111111
1,0,0,0,1,0,0,0,10001000
1,0,0,0,1,1,1,1,10001111
1,0,0,1,1,0,0,0,10011000
1,0,0,1,1,1,0,0,10011100
1,0,1,0,1,1,0,0,10101100
1,0,1,0,1,0,0,0,10101000
1,1,1,1,1,1,1,1,11111111
1,0,1,1,1,0,0,0,10111000
1,0,1,1,1,1,0,0,10111100
1,1,0,0,1,1,0,0,11001100
1,1,0,0,1,0,0,0,11001000
1,1,0,1,1,1,0,0,11011100
1,1,0,1,1,0,0,0,11011000
1,1,0,1,1,1,1,0,11011110
1,1,1,0,1,0,0,0,11101000
1,1,1,1,1,1,1,1,11111111
1,1,0,1,0,0,0,0,11010000
1,1,1,1,1,1,1,1,11111111
1,1,1,0,0,0,0,0,11100000
1,1,1,0,0,1,1,0,11100110
1,1,1,1,0,1,0,0,11110100
1,1,1,1,0,0,0,0,11110000
1,1,1,1,1,1,1,1,11111111
0,1,1,0,1,1,0,0,01101100
0,1,1,0,1,0,0,0,01101000
